X,k=6,k=12,k=18,k=24,k=30,k=36
0.000000000000, 0.000000000000, 0.000000000000, -0.000000000000, -0.000000000000, -0.000000000000, 0.000000000000
0.010000000000, 0.003077285960, 0.000315935441, 0.000024337964, 0.000001666610, 0.000000107023, 0.000000006600
0.020000000000, 0.006325221529, 0.000671912903, 0.000053474240, 0.000003785278, 0.000000251488, 0.000000016059
0.030000000000, 0.009752060350, 0.001072973181, 0.000088354462, 0.000006478620, 0.000000446496, 0.000000029617
0.040000000000, 0.013366310712, 0.001524782417, 0.000130110469, 0.000009902507, 0.000000709729, 0.000000049051
0.050000000000, 0.017176725268, 0.002033707187, 0.000180096900, 0.000014255088, 0.000001065056, 0.000000076906
0.060000000000, 0.021192287916, 0.002606897929, 0.000239934951, 0.000019788247, 0.000001544696, 0.000000116831
0.070000000000, 0.025422197549, 0.003252381448, 0.000311564685, 0.000026822183, 0.000002192143, 0.000000174057
0.080000000000, 0.029875848381, 0.003979163253, 0.000397307549, 0.000035763926, 0.000003066104, 0.000000256081
0.090000000000, 0.034562806554, 0.004797340469, 0.000499941054, 0.000047130877, 0.000004245824, 0.000000373648
0.100000000000, 0.039492782726, 0.005718226033, 0.000622787955, 0.000061580732, 0.000005838276, 0.000000542160
0.110000000000, 0.044675600366, 0.006754484802, 0.000769822690, 0.000079949494, 0.000007987853, 0.000000783693
0.120000000000, 0.050121159442, 0.007920282120, 0.000945798339, 0.000103299793, 0.000010889464, 0.000001129890
0.130000000000, 0.055839395277, 0.009231445168, 0.001156397945, 0.000132982267, 0.000014806202, 0.000001626103
0.140000000000, 0.061840232310, 0.010705637193, 0.001408414712, 0.000170713542, 0.000020093197, 0.000002337340
0.150000000000, 0.068133532567, 0.012362544364, 0.001709966368, 0.000218675283, 0.000027229806, 0.000003356774
0.160000000000, 0.074729038691, 0.014224074503, 0.002070749819, 0.000279639963, 0.000036863057, 0.000004817955
0.170000000000, 0.081636311418, 0.016314566347, 0.002502343232, 0.000357130527, 0.000049866293, 0.000006912302
0.180000000000, 0.088864661471, 0.018661007141, 0.003018563658, 0.000455623001, 0.000067418289, 0.000009914176
0.190000000000, 0.096423075914, 0.021293255392, 0.003635889481, 0.000580803459, 0.000091110027, 0.000014216818
0.200000000000, 0.104320139096, 0.024244264279, 0.004373958030, 0.000739893751, 0.000123088749, 0.000020383858
0.210000000000, 0.112563948439, 0.027550299665, 0.005256149759, 0.000942064046, 0.000166252264, 0.000029223124
0.220000000000, 0.121162025410, 0.031251144733, 0.006310271197, 0.001198954792, 0.000224511005, 0.000041892432
0.230000000000, 0.130121222174, 0.035390281009, 0.007569349339, 0.001525336276, 0.000303141313, 0.000060051164
0.240000000000, 0.139447624556, 0.040015032879, 0.009072549798, 0.001939940649, 0.000409261513, 0.000086077459
0.250000000000, 0.149146452070, 0.045176659731, 0.010866229722, 0.002466509291, 0.000552473073, 0.000123379350
0.260000000000, 0.159221955965, 0.050930376498, 0.013005133287, 0.003135107636, 0.000745723388, 0.000176840394
0.270000000000, 0.169677316345, 0.057335279901, 0.015553731982, 0.003983769928, 0.001006465534, 0.000253457713
0.280000000000, 0.180514539626, 0.064454154086, 0.018587702622, 0.005060547345, 0.001358214879, 0.000363255094
0.290000000000, 0.191734357707, 0.072353126039, 0.022195521737, 0.006426043258, 0.001832634161, 0.000520588860
0.300000000000, 0.203336130388, 0.081101138443, 0.026480134011, 0.008156527209, 0.002472318767, 0.000746013627
0.310000000000, 0.215317752682, 0.090769206042, 0.031560622622, 0.010347720513, 0.003334503445, 0.001068944305
0.320000000000, 0.227675568787, 0.101429421776, 0.037573768731, 0.013119335377, 0.004495970009, 0.001531446524
0.330000000000, 0.240404294523, 0.113153681716, 0.044675333862, 0.016620416171, 0.006059499297, 0.002193618194
0.340000000000, 0.253496950112, 0.126012104055, 0.053040831724, 0.021035461337, 0.008162270245, 0.003141198151
0.350000000000, 0.266944805146, 0.140071127973, 0.062865475999, 0.026591176164, 0.010986643450, 0.004496258068
0.360000000000, 0.280737337554, 0.155391293952, 0.074362902548, 0.033563491547, 0.014773734830, 0.006432093433
0.370000000000, 0.294862208273, 0.172024728517, 0.087762179007, 0.042284147270, 0.019840011970, 0.009193690417
0.380000000000, 0.309305253175, 0.190012383444, 0.103302550831, 0.053145645296, 0.026596703947, 0.013125303507
0.390000000000, 0.324050493596, 0.209381111491, 0.121225360420, 0.066602709838, 0.035570905133, 0.018706495294
0.400000000000, 0.339080166548, 0.230140695772, 0.141762655810, 0.083167574312, 0.047425596291, 0.026596979157
0.410000000000, 0.354374775397, 0.252280985117, 0.165122225989, 0.103395577845, 0.062973088682, 0.037687876427
0.420000000000, 0.369913161413, 0.275769318927, 0.191469206509, 0.127856993296, 0.083172441477, 0.053151122787
0.430000000000, 0.385672596232, 0.300548446940, 0.220905014605, 0.157091255103, 0.109096582039, 0.074467932204
0.440000000000, 0.401628894825, 0.326535156555, 0.253445169605, 0.191541558116, 0.141850845783, 0.103400439378
0.450000000000, 0.417756548155, 0.353619807668, 0.288998424475, 0.231471916734, 0.182425329513, 0.141851053991
0.460000000000, 0.434028874246, 0.381666939098, 0.327350374878, 0.276875453043, 0.231475052216, 0.191545339166
0.470000000000, 0.450418185979, 0.410517050716, 0.368155044359, 0.327390861851, 0.289050368315, 0.253506009154
0.480000000000, 0.466895973512, 0.439989584447, 0.410937586304, 0.382250678286, 0.354343604661, 0.327392977675
0.490000000000, 0.483433098877, 0.469887032192, 0.455110029269, 0.440285616942, 0.425557437644, 0.410959563229
0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000, 0.500000000000
0.510000000000, 0.516566901123, 0.530112967808, 0.544889970731, 0.559714383058, 0.574442562356, 0.589040436771
0.520000000000, 0.533104026488, 0.560010415553, 0.589062413696, 0.617749321714, 0.645656395339, 0.672607022325
0.530000000000, 0.549581814021, 0.589482949284, 0.631844955641, 0.672609138149, 0.710949631685, 0.746493990846
0.540000000000, 0.565971125754, 0.618333060902, 0.672649625122, 0.723124546957, 0.768524947784, 0.808454660834
0.550000000000, 0.582243451845, 0.646380192332, 0.711001575525, 0.768528083266, 0.817574670487, 0.858148946009
0.560000000000, 0.598371105175, 0.673464843445, 0.746554830395, 0.808458441884, 0.858149154217, 0.896599560622
0.570000000000, 0.614327403768, 0.699451553060, 0.779094985395, 0.842908744897, 0.890903417961, 0.925532067796
0.580000000000, 0.630086838587, 0.724230681073, 0.808530793491, 0.872143006704, 0.916827558523, 0.946848877213
0.590000000000, 0.645625224603, 0.747719014883, 0.834877774011, 0.896604422155, 0.937026911318, 0.962312123573
0.600000000000, 0.660919833452, 0.769859304228, 0.858237344190, 0.916832425688, 0.952574403709, 0.973403020843
0.610000000000, 0.675949506404, 0.790618888509, 0.878774639580, 0.933397290162, 0.964429094867, 0.981293504706
0.620000000000, 0.690694746825, 0.809987616556, 0.896697449169, 0.946854354704, 0.973403296053, 0.986874696493
0.630000000000, 0.705137791727, 0.827975271483, 0.912237820993, 0.957715852730, 0.980159988030, 0.990806309583
0.640000000000, 0.719262662446, 0.844608706048, 0.925637097452, 0.966436508453, 0.985226265170, 0.993567906567
0.650000000000, 0.733055194854, 0.859928872027, 0.937134524001, 0.973408823836, 0.989013356550, 0.995503741932
0.660000000000, 0.746503049888, 0.873987895945, 0.946959168276, 0.978964538663, 0.991837729755, 0.996858801849
0.670000000000, 0.759595705477, 0.886846318284, 0.955324666138, 0.983379583829, 0.993940500703, 0.997806381806
0.680000000000, 0.772324431213, 0.898570578224, 0.962426231269, 0.986880664623, 0.995504029991, 0.998468553476
0.690000000000, 0.784682247318, 0.909230793958, 0.968439377378, 0.989652279487, 0.996665496555, 0.998931055695
0.700000000000, 0.796663869612, 0.918898861557, 0.973519865989, 0.991843472791, 0.997527681233, 0.999253986373
0.710000000000, 0.808265642293, 0.927646873961, 0.977804478263, 0.993573956742, 0.998167365839, 0.999479411140
0.720000000000, 0.819485460374, 0.935545845914, 0.981412297378, 0.994939452655, 0.998641785121, 0.999636744906
0.730000000000, 0.830322683655, 0.942664720099, 0.984446268018, 0.996016230072, 0.998993534466, 0.999746542287
0.740000000000, 0.840778044035, 0.949069623502, 0.986994866713, 0.996864892364, 0.999254276612, 0.999823159606
0.750000000000, 0.850853547930, 0.954823340269, 0.989133770278, 0.997533490709, 0.999447526927, 0.999876620650
0.760000000000, 0.860552375444, 0.959984967121, 0.990927450202, 0.998060059351, 0.999590738487, 0.999913922541
0.770000000000, 0.869878777826, 0.964609718991, 0.992430650661, 0.998474663724, 0.999696858687, 0.999939948836
0.780000000000, 0.878837974590, 0.968748855267, 0.993689728803, 0.998801045208, 0.999775488995, 0.999958107568
0.790000000000, 0.887436051561, 0.972449700335, 0.994743850241, 0.999057935954, 0.999833747736, 0.999970776876
0.800000000000, 0.895679860904, 0.975755735721, 0.995626041970, 0.999260106249, 0.999876911251, 0.999979616142
0.810000000000, 0.903576924086, 0.978706744608, 0.996364110519, 0.999419196541, 0.999908889973, 0.999985783182
0.820000000000, 0.911135338529, 0.981338992859, 0.996981436342, 0.999544376999, 0.999932581711, 0.999990085824
0.830000000000, 0.918363688582, 0.983685433653, 0.997497656768, 0.999642869473, 0.999950133707, 0.999993087698
0.840000000000, 0.925270961309, 0.985775925497, 0.997929250181, 0.999720360037, 0.999963136943, 0.999995182045
0.850000000000, 0.931866467433, 0.987637455636, 0.998290033632, 0.999781324717, 0.999972770194, 0.999996643226
0.860000000000, 0.938159767690, 0.989294362807, 0.998591585288, 0.999829286458, 0.999979906803, 0.999997662660
0.870000000000, 0.944160604723, 0.990768554832, 0.998843602055, 0.999867017733, 0.999985193798, 0.999998373897
0.880000000000, 0.949878840558, 0.992079717880, 0.999054201661, 0.999896700207, 0.999989110536, 0.999998870110
0.890000000000, 0.955324399634, 0.993245515198, 0.999230177310, 0.999920050506, 0.999992012147, 0.999999216307
0.900000000000, 0.960507217274, 0.994281773967, 0.999377212045, 0.999938419268, 0.999994161724, 0.999999457840
0.910000000000, 0.965437193446, 0.995202659531, 0.999500058946, 0.999952869123, 0.999995754176, 0.999999626352
0.920000000000, 0.970124151619, 0.996020836747, 0.999602692451, 0.999964236074, 0.999996933896, 0.999999743919
0.930000000000, 0.974577802451, 0.996747618552, 0.999688435315, 0.999973177817, 0.999997807857, 0.999999825943
0.940000000000, 0.978807712084, 0.997393102071, 0.999760065049, 0.999980211753, 0.999998455304, 0.999999883169
0.950000000000, 0.982823274732, 0.997966292813, 0.999819903100, 0.999985744912, 0.999998934944, 0.999999923094
0.960000000000, 0.986633689288, 0.998475217583, 0.999869889531, 0.999990097493, 0.999999290271, 0.999999950949
0.970000000000, 0.990247939650, 0.998927026819, 0.999911645538, 0.999993521380, 0.999999553504, 0.999999970383
0.980000000000, 0.993674778471, 0.999328087097, 0.999946525760, 0.999996214722, 0.999999748512, 0.999999983941
0.990000000000, 0.996922714040, 0.999684064559, 0.999975662036, 0.999998333390, 0.999999892977, 0.999999993400
1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000, 1.000000000000
